"","favor","contra","absten","quorum","ausen","title","leg","filename","yr","mo","dy","haveinfo"
"39",302,4,112,1,82,"DECRETO POR EL QUE SE CONCEDE AUTORIZACION AL C. FELIPE DE JESUS CALDERON HINOJOSA, PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, PARA AUSENTARSE DE TERRITORIO NACIONAL LOS DIAS 15 Y 16 DE ENERO DE 2007, A FIN DE EFECTUAR UNA VISITA A LA REPUBLICA DE EL SALVADOR PARA PARTICIPAR EN LA CELEBRACION DEL DECIMO QUINTO ANIVERSARIO DE LA SUSCRIPCION DE LOS ACUERDOS DE PAZ DE EL SALVADOR.  (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-39",2006,12,21,1
"40",429,10,6,0,56,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES EN MATERIA FISCAL. MINUTA DEVUELTA DEL SENADO. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-40",2006,12,21,1
"41",454,0,0,2,45,"LEY DE INGRESOS DE LA FEDERACIÓN PARA EL EJERCICIO FISCAL DE 2007. MINUTA DEVUELTA DEL SENADO. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or1-sil-41",2006,12,21,1
"42",444,2,7,4,45,"ELECCIÓN DE INTEGRANTES DE LA COMISIÓN PERMANENTE PARA EL PRIMER RECESO DEL PRIMER AÑO DE EJERCICIO DE LA LX LEGISLATURA. (SI SE APRUEBA)",60,"60yr1or1-sil-42",2006,12,22,1
"43",449,20,5,0,28,"PROYECTO DE PRESUPUESTO DE EGRESOS DE LA FEDERACIÓN PARA EL EJERCICIO FISCAL DE 2007. (EN LO GENERAL Y EN LO PARTICULAR, LOS ARTÍCULOS NO RESERVADOS)",60,"60yr1or1-sil-43",2006,12,22,1
"44",256,192,1,0,53,"PROYECTO DE PRESUPUESTO DE EGRESOS DE LA FEDERACIÓN PARA EL EJERCICIO FISCAL DE 2007. (EN LO PARTICULAR LOS ARTÍCULOS RESERVADOS: ADICIÓN DE UN TRANSITORIO NUEVO, DIP. VICTOR VARELA, EN LO PARTICULAR)",60,"60yr1or1-sil-44",2006,12,22,1
"45",461,0,4,0,37,"PROYECTO DE PRESUPUESTO DE EGRESOS DE LA FEDERACIÓN PARA EL EJERCICIO FISCAL DE 2007. (EN LO PARTICULAR LA ADICIÓN O MODIF. DEL ANEXO 20 RESERVADO POR EL DIP. FRANCISCO JAVIER CALZADA VÁZQUEZ)",60,"60yr1or1-sil-45",2006,12,22,1
"46",208,252,1,1,40,"PROYECTO DE PRESUPUESTO DE EGRESOS DE LA FEDERACIÓN PARA EL EJERCICIO FISCAL DE 2007. (EN LO PARTICULAR EL ANEXO 21-A RESERVADO, CON LAS ADICIONES Y MODIFICACIONES ACEPTADAS POR EL PLENO).",60,"60yr1or1-sil-46",2006,12,22,1
"47",400,44,15,0,43,"PROYECTO DE PRESUPUESTO DE EGRESOS DE LA FEDERACIÓN PARA EL EJERCICIO FISCAL DE 2007. (EN LO PARTICULAR LOS ARTÍCULOS RESERVADOS EN TÉRMINOS DEL DICTAMEN)",60,"60yr1or1-sil-47",2006,12,22,1
"48",396,1,4,4,97,"DECRETO QUE EXPIDE LA LEY REGLAMENTARIA DE LA FRACCIÓN VI DEL ARTÍCULO 76 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-48",2007,2,8,1
"49",383,0,4,3,112,"DOS DECRETOS QUE CONCEDEN PERMISO A 1 CC. PARA ACEPTAR Y USAR CONDECORACIÓN QUE LE OTORGA EL GOBIERNO DE LA REPÚBLICA FRANCESA Y A 5 CC. PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS. (EN LO GENERAL Y EN LO PARTICULAR).",60,"60yr1or2-sil-49",2007,2,15,1
"50",116,250,1,3,132,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIV. DISP. DE LA LEY DE CONCURSOS MERCANTILES. (SI SE ACEPTA LA MOCIÓN SUSPENSIVA)",60,"60yr1or2-sil-50",2007,2,20,1
"51",398,2,1,3,98,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DE LA LEY DE CONCURSOS MERCANTILES. (EN LO GENERAL Y EN LO PARTICULAR LOS ARTÍCULOS NO RESERVADOS).",60,"60yr1or2-sil-51",2007,2,20,1
"52",267,125,2,3,105,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DE LA LEY DE CONCURSOS MERCANTILES. (EN LO PARTICULAR LOS ARTÍCULOS 34, 41, 48, 47, 59, 60 Y 136 RESERVADOS. EN SUS TÉRMINOS).",60,"60yr1or2-sil-52",2007,2,20,1
